Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 143: Diaz vs. Condit,2/4/2012,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9015,UFC 143,400000,,February,2012,
UFC 144: Edgar vs. Henderson,2/26/2012,Saitama Super Arena,Saitama,N/A, Japan,21000,UFC 144,325000,,February,2012,
UFC 145: Jones vs. Evans,4/21/2012,Philips Arena,Atlanta, Georgia, U.S.,15545,UFC 145,700000,,April,2012,
UFC 146: dos Santos vs. Mir,5/26/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14674,UFC 146,560000,,May,2012,
UFC 147: Silva vs. Franklin II,6/23/2012,Mineirinho Arena,Belo Horizonte,N/A, Brazil,16643,UFC 147,140000,,June,2012,
UFC 148: Silva vs. Sonnen II,7/7/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,15104,UFC 148,925000,,July,2012,
UFC 149: Faber vs. Barão,7/21/2012,Scotiabank Saddledome,Calgary, Alberta, Canada,16089,UFC 149,230000,,July,2012,
UFC 150: Henderson vs. Edgar II,8/11/2012,Pepsi Center,Denver, Colorado, U.S.,13027,UFC 150,190000,,August,2012,
UFC 151: Jones vs. Henderson,9/1/2012,Mandalay Bay Events Center,Las Vegas,Nevada,U.S.,Not Available,UFC 151,Not Available,Cancelled,September,2012,
UFC 152: Jones vs. Belfort,9/22/2012,Air Canada Centre,Toronto, Ontario, Canada,16800,UFC 152,450000,,September,2012,
UFC 153: Silva vs. Bonnar,10/13/2012,HSBC Arena,Rio de Janeiro,N/A, Brazil,16844,UFC 153,410000,,October,2012,
UFC 154: St-Pierre vs. Condit,11/17/2012,Bell Centre,Montreal, Quebec, Canada,17249,UFC 154,700000,,November,2012,
UFC 155: dos Santos vs. Velasquez 2,12/29/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13561,UFC 155,590000,,December,2012,
UFC 156: Aldo vs. Edgar,2/2/2013,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10275,UFC 156,330000,,February,2013,
UFC 157: Rousey vs. Carmouche,2/23/2013,Honda Center,Anaheim, California, U.S.,13257,UFC 157,450000,,February,2013,
UFC 158: St-Pierre vs. Diaz,3/16/2013,Bell Centre,Montreal, Quebec, Canada,20145,UFC 158,950000,,March,2013,
UFC 159: Jones vs. Sonnen,4/27/2013,Prudential Center,Newark, New Jersey, U.S.,15227,UFC 159,530000,,April,2013,
UFC 160: Velasquez vs. Bigfoot 2,5/25/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12380,UFC 160,380000,,May,2013,
UFC 161: Evans vs. Henderson,6/15/2013,MTS Centre,Winnipeg, Manitoba, Canada,14754,UFC 161,140000,,June,2013,
UFC 162: Silva vs. Weidman,7/6/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12964,UFC 162,550000,,July,2013,
UFC 163: Aldo vs. Korean Zombie,8/3/2013,HSBC Arena,Rio de Janeiro,N/A, Brazil,13873,UFC 163,180000,,August,2013,
UFC 164: Henderson vs. Pettis,8/31/2013,BMO Harris Bradley Center,Milwaukee, Wisconsin, U.S.,9178,UFC 164,270000,,August,2013,
UFC 165: Jones vs. Gustafsson,9/21/2013,Air Canada Centre,Toronto, Ontario, Canada,15504,UFC 165,310000,,September,2013,
