#,Event,Date,Venue,City,State/Province,Country,Attendance,
114,UFC 87: Seek and Destroy,8/9/2008,Target Center,Minneapolis, Minnesota, U.S.,15087,
115,UFC 88: Breakthrough,9/6/2008,Philips Arena,Atlanta, Georgia, U.S.,14736,
116,UFC Fight Night: Diaz vs. Neer,9/17/2008,Omaha Civic Auditorium,Omaha, Nebraska, U.S.,9103,
117,UFC 89: Bisping vs. Leben,10/18/2008,National Indoor Arena,Birmingham, England, U.K.,9515,
118,UFC 90: Silva vs. Côté,10/25/2008,Allstate Arena,Rosemont, Illinois, U.S.,15359,
119,UFC 91: Couture vs. Lesnar,11/15/2008,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14272,
120,UFC: Fight for the Troops,12/10/2008,Crown Coliseum,Fayetteville, North Carolina, U.S.,8500,
121,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,12/13/2008,Palms Casino Resort,Las Vegas, Nevada, U.S.,1853,
122,UFC 92: The Ultimate 2008,12/27/2008,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14166,
123,UFC 93: Franklin vs. Henderson,1/17/2009,The O2,Dublin,N/A, Ireland,9369,
124,UFC 94: St-Pierre vs. Penn 2,1/31/2009,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14885,
125,UFC Fight Night: Lauzon vs. Stephens,2/7/2009,USF Sun Dome,Tampa, Florida, U.S.,7596,
126,UFC 95: Sanchez vs. Stevenson,2/21/2009,The O2 arena,London, England, U.K.,13268,
127,UFC 96: Jackson vs. Jardine,3/7/2009,Nationwide Arena,Columbus, Ohio, U.S.,17033,
128,UFC Fight Night: Condit vs. Kampmann,4/1/2009,Sommet Center,Nashville, Tennessee, U.S.,10267,
129,UFC 97: Redemption,4/18/2009,Bell Centre,Montreal, Quebec, Canada,21451,
130,UFC 98: Evans vs. Machida,5/23/2009,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12606,
131,UFC 99: The Comeback,6/13/2009,Lanxess Arena,Cologne,N/A, Germany,12854,
132,The Ultimate Fighter: United States vs. United Kingdom Finale,6/20/2009,Palms Casino Resort,Las Vegas, Nevada, U.S.,2217,
133,UFC 100,7/11/2009,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10871,
134,UFC 101: Declaration,8/8/2009,Wachovia Center,Philadelphia, Pennsylvania, U.S.,17411,
135,UFC 102: Couture vs. Nogueira,8/29/2009,Rose Garden,Portland, Oregon, U.S.,16088,
136,UFC Fight Night: Diaz vs. Guillard,9/16/2009,Cox Convention Center,Oklahoma City, Oklahoma, U.S.,9490,
137,UFC 103: Franklin vs. Belfort,9/19/2009,American Airlines Center,Dallas, Texas, U.S.,17428,
138,UFC 104: Machida vs. Shogun,10/24/2009,Staples Center,Los Angeles, California, U.S.,14892,
139,UFC 105: Couture vs. Vera,11/14/2009,Manchester Evening News Arena,Manchester, England, U.K.,16693,
140,UFC 106: Ortiz vs. Griffin 2,11/21/2009,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10529,
141,The Ultimate Fighter: Heavyweights Finale,12/5/2009,Palms Casino Resort,Las Vegas, Nevada, U.S.,1791,
142,UFC 107: Penn vs. Sanchez,12/12/2009,FedExForum,Memphis, Tennessee, U.S.,13896,
143,UFC 108: Evans vs. Silva,1/2/2010,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13529,
144,UFC Fight Night: Maynard vs. Diaz,1/11/2010,Patriot Center,Fairfax, Virginia, U.S.,8078,
145,UFC 109: Relentless,2/6/2010,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10753,
146,UFC 110: Nogueira vs. Velasquez,2/21/2010,Acer Arena,Sydney,N/A, Australia,17831,
147,UFC Live: Vera vs. Jones,3/21/2010,1stBank Center,Broomfield, Colorado, U.S.,6443,
148,UFC 111: St-Pierre vs. Hardy,3/27/2010,Prudential Center,Newark, New Jersey, U.S.,17000,
149,UFC Fight Night: Florian vs. Gomi,3/31/2010,Bojangles Coliseum,Charlotte, North Carolina, U.S.,7700,
150,UFC 112: Invincible,4/10/2010,Yas Island,Abu Dhabi,N/A, United Arab Emirates,11008,
151,UFC 113: Machida vs. Shogun 2,5/8/2010,Bell Centre,Montreal, Quebec, Canada,17647,
152,UFC 114: Rampage vs. Evans,5/29/2010,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14996,
153,UFC 115: Liddell vs. Franklin,6/12/2010,General Motors Place,Vancouver, British Columbia, Canada,17669,
154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,6/19/2010,Palms Casino Resort,Las Vegas, Nevada, U.S.,1708,
155,UFC 116: Lesnar vs. Carwin,7/3/2010,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12740,
156,UFC Live: Jones vs. Matyushenko,8/1/2010,San Diego Sports Arena,San Diego, California, U.S.,8132,
